SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS16dod
RA: 55.9100690
DECL: 46.1590349
MWEBV: 0.4242 +- 0.0212
FILTERS: griz
REDSHIFT_HELIO: 0.0167520 +- 0.0001000
REDSHIFT_FINAL: 0.0163202023257758
SEARCH_PEAKMJD: 57695.45814
HOSTGAL_LOGMASS: 10.881 +- 0.012
VPEC: 238.473
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57695.45701      g    NULL    16448.679        292.527    16.960     0.019  2.09
OBS:  57700.44040      g    NULL    13929.495        269.882    17.140     0.021  2.44
OBS:  57710.46473      g    NULL     5979.700        205.532    18.058     0.037  2.50
OBS:  57721.34977      g    NULL     2422.929        109.936    19.039     0.049  2.40
OBS:  57744.41622      g    NULL      992.517        102.321    20.008     0.111  2.56
OBS:  57695.45741      r    NULL    23095.779        364.104    16.591     0.017  2.04
OBS:  57700.44080      r    NULL    22616.692        369.075    16.614     0.018  2.15
OBS:  57710.46513      r    NULL    14619.749        257.682    17.088     0.019  2.60
OBS:  57721.35017      r    NULL     6863.453        146.263    17.909     0.023  2.14
OBS:  57744.41662      r    NULL     2886.722        107.349    18.849     0.040  2.35
OBS:  57695.45777      i    NULL    22235.482        358.868    16.632     0.018  1.84
OBS:  57700.44115      i    NULL    18839.583        324.844    16.812     0.019  1.89
OBS:  57710.46549      i    NULL    15102.602        288.804    17.052     0.021  2.59
OBS:  57721.35053      i    NULL     9916.159        188.548    17.509     0.021  2.01
OBS:  57744.41698      i    NULL     3571.455        120.190    18.618     0.036  1.77
OBS:  57695.45814      z    NULL    23428.756        401.906    16.576     0.019  1.68
OBS:  57700.44152      z    NULL    21479.999        401.310    16.670     0.020  1.80
OBS:  57710.46585      z    NULL    19486.843        385.942    16.776     0.021  2.58
OBS:  57721.35089      z    NULL    13044.510        275.849    17.211     0.023  2.34
OBS:  57744.41734      z    NULL     3368.719        164.249    18.681     0.053  1.75
END:
