SURVEY: FOUNDATION
SNTYPE: 1
SNID: CSS161013
RA: 28.3310031
DECL: 17.3148662
MWEBV: 0.0372 +- 0.0019
FILTERS: griz
REDSHIFT_HELIO: 0.0790000 +- 0.0030000
REDSHIFT_FINAL: 0.07799075104899456
SEARCH_PEAKMJD: 57695.44544
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: -127.582
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 25
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57695.44505      g    NULL     6509.140        157.736    17.966     0.026  2.87
OBS:  57700.43132      g    NULL     5383.081        164.585    18.172     0.033  2.21
OBS:  57710.40745      g    NULL     2534.123        173.985    18.990     0.074  3.17
OBS:  57736.25443      g    NULL      983.964        160.802    20.018     0.177  1.92
OBS:  57744.21596      g    NULL     1072.950        102.278    19.924     0.103  2.60
OBS:  57695.44544      r    NULL     6957.565        153.819    17.894     0.024  2.39
OBS:  57700.43171      r    NULL     6480.932        170.615    17.971     0.028  2.23
OBS:  57710.40785      r    NULL     4816.237        207.049    18.293     0.046  4.61
OBS:  57736.25482      r    NULL     1883.889        133.304    19.312     0.076  1.83
OBS:  57744.21634      r    NULL     1607.821         84.789    19.484     0.057  2.12
OBS:  57695.44580      i    NULL     6238.430        157.444    18.012     0.027  2.39
OBS:  57700.43207      i    NULL     5702.644        178.076    18.110     0.034  1.90
OBS:  57710.40820      i    NULL     4531.249        181.440    18.359     0.043  2.76
OBS:  57736.25519      i    NULL     2264.853        180.691    19.112     0.086  1.66
OBS:  57744.21671      i    NULL     1908.301         97.569    19.298     0.055  2.05
OBS:  57707.41249      i    NULL     5590.848        121.629    18.131     0.024  2.10
OBS:  57707.42620      i    NULL     5760.974        149.253    18.099     0.028  2.06
OBS:  57707.43995      i    NULL     5536.705        280.521    18.142     0.055  2.38
OBS:  57707.45368      i    NULL     5721.426        126.018    18.106     0.024  2.28
OBS:  57695.44616      z    NULL     5393.642        197.901    18.170     0.040  2.39
OBS:  57700.43244      z    NULL     5248.958        238.063    18.200     0.049  1.96
OBS:  57710.40857      z    NULL     4519.087        198.851    18.362     0.048  2.51
OBS:  57736.25556      z    NULL     2468.965        253.210    19.019     0.111  1.75
OBS:  57744.21708      z    NULL     1589.133        151.743    19.497     0.103  2.14
OBS:  57744.20282      z    NULL     2033.258        110.207    19.230     0.059  1.77
END:
