SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017lc
RA: 146.1070995
DECL: -18.5483204
MWEBV: 0.0405 +- 0.0020
FILTERS: griz
REDSHIFT_HELIO: 0.0600000 +- 0.0020000
REDSHIFT_FINAL: 0.06119822627760407
SEARCH_PEAKMJD: 57779.48586
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: -44.097
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57779.48544      g    NULL     3223.590        116.067    18.729     0.039  2.25
OBS:  57783.52835      g    NULL     2406.554        132.718    19.047     0.060  3.03
OBS:  57797.39770      g    NULL      244.764        196.942    21.528     0.869  2.71
OBS:  57808.42805      g    NULL      329.374         86.447    21.206     0.283  2.26
OBS:  57826.34308      g    NULL      404.234        195.700    20.983     0.523  2.29
OBS:  57779.48586      r    NULL     4153.674        109.576    18.454     0.029  1.97
OBS:  57783.52877      r    NULL     3510.565        128.003    18.637     0.039  2.81
OBS:  57797.39811      r    NULL     2241.433        163.327    19.124     0.079  2.77
OBS:  57808.42847      r    NULL     1114.888         80.344    19.882     0.078  2.14
OBS:  57826.34348      r    NULL      586.061        141.893    20.580     0.261  2.15
OBS:  57779.48620      i    NULL     1953.927         91.705    19.273     0.051  1.85
OBS:  57783.52911      i    NULL     1445.140        116.956    19.600     0.087  2.56
OBS:  57797.39846      i    NULL     1613.324        141.894    19.481     0.095  2.33
OBS:  57808.42882      i    NULL      774.745        103.939    20.277     0.145  2.49
OBS:  57826.34383      i    NULL      575.525        130.383    20.600     0.245  1.98
OBS:  57818.35314      i    NULL      570.292         52.673    20.610     0.100  2.19
OBS:  57818.36416      i    NULL      409.101         51.165    20.970     0.135  2.10
OBS:  57818.37516      i    NULL      600.592         46.999    20.554     0.085  1.79
OBS:  57818.38616      i    NULL      577.024         41.895    20.597     0.078  1.65
OBS:  57826.35496      i    NULL      502.721         57.803    20.747     0.124  1.69
OBS:  57826.36789      i    NULL      399.250         58.576    20.997     0.158  1.75
OBS:  57826.38080      i    NULL      358.329         65.576    21.114     0.198  2.00
OBS:  57826.39372      i    NULL      513.858         61.471    20.723     0.129  1.78
OBS:  57779.48656      z    NULL     1269.918        127.608    19.741     0.109  1.82
OBS:  57783.52947      z    NULL      749.387        164.953    20.313     0.238  2.26
OBS:  57797.39882      z    NULL     1018.368        213.812    19.980     0.227  2.30
OBS:  57808.42918      z    NULL      866.895        151.762    20.155     0.189  2.00
OBS:  57826.34419      z    NULL      366.421        164.337    21.090     0.484  1.85
END:
