SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016blh
RA: 212.4186302
DECL: -0.6568315
MWEBV: 0.0399 +- 0.0020
FILTERS: griz
REDSHIFT_HELIO: 0.0238000 +- 0.0002130
REDSHIFT_FINAL: 0.024698502595919436
SEARCH_PEAKMJD: 57483.52057
HOSTGAL_LOGMASS: 10.182 +- 0.013
VPEC: 242.516
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 37
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57483.52018      g    NULL     8269.550        179.912    17.706     0.024  1.76
OBS:  57488.49865      g    NULL     7131.647        170.252    17.867     0.026  1.90
OBS:  57493.45275      g    NULL     4311.169        122.648    18.414     0.031  1.36
OBS:  57504.44382      g    NULL     1657.857        121.193    19.451     0.079  1.56
OBS:  57511.39759      g    NULL      810.144        116.626    20.229     0.155  2.55
OBS:  57520.37870      g    NULL      561.206         84.326    20.627     0.162  1.75
OBS:  57531.32245      g    NULL      590.360        182.926    20.572     0.335  2.45
OBS:  57483.52057      r    NULL    13602.913        240.699    17.166     0.019  1.71
OBS:  57488.49904      r    NULL     9817.601        193.680    17.520     0.021  1.97
OBS:  57493.45314      r    NULL     7042.542        150.146    17.881     0.023  1.30
OBS:  57504.44421      r    NULL     4647.794        131.957    18.332     0.031  1.47
OBS:  57511.39800      r    NULL     2769.363        119.234    18.894     0.047  2.35
OBS:  57520.37909      r    NULL     2025.656         96.255    19.234     0.051  1.87
OBS:  57531.32285      r    NULL     1463.259        150.251    19.587     0.111  2.08
OBS:  57464.51002      r    NULL       18.992         45.837    24.304     2.607  1.75
OBS:  57464.52239      r    NULL      103.590         47.944    22.462     0.500  1.86
OBS:  57464.53476      r    NULL      -83.381         40.781       nan     0.528  1.80
OBS:  57464.54714      r    NULL       28.744         44.569    23.854     1.675  1.89
OBS:  57478.45281      r    NULL    12937.884        193.111    17.220     0.016  1.60
OBS:  57478.46513      r    NULL    13237.115        198.048    17.196     0.016  1.57
OBS:  57478.48975      r    NULL    12956.844        192.034    17.219     0.016  1.96
OBS:  57478.47742      r    NULL    13222.971        194.692    17.197     0.016  1.77
OBS:  57483.52093      i    NULL    10457.782        201.007    17.451     0.021  1.55
OBS:  57488.49941      i    NULL     6578.303        181.800    17.955     0.030  2.79
OBS:  57488.50103      i    NULL     6630.888        159.142    17.946     0.026  1.66
OBS:  57493.45350      i    NULL     5037.945        125.113    18.244     0.027  1.22
OBS:  57504.44457      i    NULL     6076.066        161.787    18.041     0.029  1.58
OBS:  57511.39837      i    NULL     3852.543        161.200    18.536     0.045  2.40
OBS:  57520.37945      i    NULL     2398.015        116.783    19.050     0.053  1.81
OBS:  57531.32321      i    NULL     1406.182        157.813    19.630     0.121  2.27
OBS:  57483.52129      z    NULL    11074.284        234.835    17.389     0.023  1.28
OBS:  57488.49977      z    NULL     7722.060        216.843    17.781     0.030  1.89
OBS:  57493.45386      z    NULL     7441.802        194.457    17.821     0.028  1.24
OBS:  57504.44494      z    NULL     7567.421        231.354    17.803     0.033  1.38
OBS:  57511.39873      z    NULL     4013.013        207.566    18.491     0.056  1.89
OBS:  57520.37981      z    NULL     2308.027        150.278    19.092     0.070  1.62
OBS:  57531.32357      z    NULL     1460.814        202.890    19.589     0.150  2.08
END:
