SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017ckx
RA: 117.0453906
DECL: 28.2307107
MWEBV: 0.0294 +- 0.0015
FILTERS: griz
REDSHIFT_HELIO: 0.0271585 +- 0.0000053
REDSHIFT_FINAL: 0.0277685 +- 0.0000053
SEARCH_PEAKMJD: 57843.29602
HOSTGAL_LOGMASS: 10.482 +- 0.001
VPEC: 124.977
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 19
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57843.29602     g     29821.991        494.520    16.314     0.018  2.25
OBS:  57863.25223     g     14840.063        271.650    17.071     0.020  1.69
OBS:  57871.24995     g      8393.473        207.614    17.690     0.027  2.24
OBS:  57879.25886     g      4793.439        191.976    18.298     0.043  1.97
OBS:  57843.29641     r     27240.626        454.497    16.412     0.018  2.31
OBS:  57863.25263     r     15281.154        262.319    17.040     0.019  1.31
OBS:  57871.25035     r     13945.595        282.477    17.139     0.022  2.14
OBS:  57879.25928     r     12398.240        259.326    17.267     0.023  1.82
OBS:  57893.25752     r      5732.202        184.836    18.104     0.035  1.75
OBS:  57843.29677     i     18323.217        346.728    16.842     0.020  1.89
OBS:  57863.25299     i      8382.346        189.995    17.692     0.025  1.47
OBS:  57871.25070     i     10446.615        245.517    17.453     0.025  1.88
OBS:  57879.25963     i     10767.972        237.897    17.420     0.024  1.62
OBS:  57893.25786     i      4451.568        203.962    18.379     0.050  2.00
OBS:  57843.29713     z     16953.595        400.081    16.927     0.026  2.10
OBS:  57863.25335     z     10412.098        248.516    17.456     0.026  1.27
OBS:  57871.25107     z     11372.897        361.151    17.360     0.034  2.27
OBS:  57879.25999     z     10079.939        278.874    17.491     0.030  1.62
OBS:  57893.25822     z      4947.016        278.376    18.264     0.061  1.79
END:
