SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017ciy
RA: 256.0288630
DECL: 25.0528807
MWEBV: 0.0552 +- 0.0028
FILTERS: griz
REDSHIFT_HELIO: 0.0376550 +- 0.0010500
REDSHIFT_FINAL: 0.0376298 +- 0.0010500
SEARCH_PEAKMJD: 57841.53727
HOSTGAL_LOGMASS: 10.215 +- 0.001
VPEC: 230.889
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57841.53727     g     10226.524        204.756    17.476     0.022  2.28
OBS:  57847.55832     g      7613.267        169.719    17.796     0.024  2.40
OBS:  57863.48168     g      2509.303         93.474    19.001     0.040  2.26
OBS:  57870.57794     g      1836.436         99.473    19.340     0.059  2.01
OBS:  57880.46342     g      1396.645         99.559    19.637     0.077  1.48
OBS:  57841.53767     r     10199.133        192.520    17.479     0.020  2.23
OBS:  57847.55872     r      8543.661        176.494    17.671     0.022  2.75
OBS:  57863.48208     r      4505.627        114.637    18.366     0.028  2.21
OBS:  57870.57832     r      3928.107        110.243    18.515     0.030  1.86
OBS:  57880.46381     r      2752.801         96.682    18.901     0.038  1.49
OBS:  57841.53803     i      7723.862        169.966    17.780     0.024  2.29
OBS:  57847.55908     i      6161.046        151.658    18.026     0.027  2.50
OBS:  57863.48244     i      4960.338        127.136    18.261     0.028  1.73
OBS:  57870.57869     i      4063.239        121.121    18.478     0.032  1.63
OBS:  57880.46417     i      2912.466         99.012    18.839     0.037  1.38
OBS:  57879.44296     i      3138.013         68.565    18.758     0.024  1.41
OBS:  57879.45497     i      3299.209         70.644    18.704     0.023  1.32
OBS:  57879.46712     i      3220.951         70.704    18.730     0.024  1.42
OBS:  57879.47913     i      3057.124         70.937    18.787     0.025  1.45
OBS:  57891.58983     i      2140.546         55.246    19.174     0.028  1.33
OBS:  57891.59498     i      2154.875         56.751    19.166     0.028  1.35
OBS:  57891.60013     i      2062.442         55.638    19.214     0.029  1.35
OBS:  57891.60530     i      2046.398         57.363    19.223     0.030  1.37
OBS:  57841.53841     z      7174.190        207.485    17.861     0.031  2.03
OBS:  57847.55945     z      6722.888        220.021    17.931     0.035  2.73
OBS:  57863.48279     z      5192.930        169.635    18.211     0.035  1.63
OBS:  57870.57906     z      4824.840        184.279    18.291     0.041  1.63
OBS:  57880.46454     z      3517.031        143.632    18.635     0.044  1.36
END:
