SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15la
RA: 213.2133798
DECL: 35.7111840
MWEBV: 0.0163 +- 0.0008
FILTERS: griz
REDSHIFT_HELIO: 0.0278210 +- 0.0000080
REDSHIFT_FINAL: 0.0284355 +- 0.0000080
SEARCH_PEAKMJD: 57192.27743
HOSTGAL_LOGMASS: 11.049 +- 0.125
VPEC: -56.914
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57187.29344     g     29991.925        531.800    16.307     0.019  2.50
OBS:  57192.27704     g     28213.436        466.104    16.374     0.018  1.50
OBS:  57197.26572     g     24265.534        435.979    16.538     0.019  2.14
OBS:  57202.27497     g     16654.667        326.177    16.946     0.021  1.40
OBS:  57207.27541     g      9712.804        235.616    17.532     0.026  1.87
OBS:  57215.27331     g      4674.907        171.174    18.326     0.040  1.69
OBS:  57187.29384     r     26880.406        470.425    16.426     0.019  2.16
OBS:  57192.27743     r     29762.979        481.031    16.316     0.018  1.61
OBS:  57197.26611     r     25999.910        443.185    16.463     0.018  2.03
OBS:  57202.27536     r     19139.269        340.565    16.795     0.019  1.49
OBS:  57207.27586     r     16631.476        316.739    16.948     0.021  1.95
OBS:  57215.27370     r     14597.409        284.111    17.089     0.021  1.56
OBS:  57207.33364     r     17625.461        279.341    16.885     0.017  1.70
OBS:  57207.34461     r     18613.513        300.772    16.825     0.018  1.72
OBS:  57207.35556     r     18173.242        292.143    16.851     0.017  1.88
OBS:  57187.29422     i     17878.030        385.379    16.869     0.023  2.02
OBS:  57192.27782     i     17293.223        321.769    16.905     0.020  1.36
OBS:  57197.26648     i     15387.563        323.865    17.032     0.023  2.00
OBS:  57202.27572     i     11226.553        261.210    17.374     0.025  1.37
OBS:  57207.27623     i     10432.460        257.835    17.454     0.027  1.58
OBS:  57215.27407     i     12708.447        273.704    17.240     0.023  1.44
OBS:  57187.29461     z     15207.182        479.744    17.045     0.034  2.00
OBS:  57192.27820     z     14436.610        325.564    17.101     0.024  1.20
OBS:  57197.26684     z     13838.164        367.985    17.147     0.029  1.89
OBS:  57202.27609     z     10060.930        307.919    17.493     0.033  1.40
OBS:  57207.27648     z     10332.397        307.225    17.464     0.032  1.66
OBS:  57215.27443     z     10822.076        316.570    17.414     0.032  1.43
END:
