SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16bq
RA: 212.8604341
DECL: 1.2859723
MWEBV: 0.0330 +- 0.0017
FILTERS: griz
REDSHIFT_HELIO: 0.0249351 +- 0.0000099
REDSHIFT_FINAL: 0.0258018 +- 0.0000099
SEARCH_PEAKMJD: 57437.60516
HOSTGAL_LOGMASS: 10.795 +- 0.001
VPEC: -267.624
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 43
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57432.58140     g     21359.155        362.106    16.676     0.018  1.96
OBS:  57437.60516     g     29206.672        462.339    16.336     0.017  2.50
OBS:  57449.59058     g     14226.555        270.927    17.117     0.021  2.23
OBS:  57456.59494     g      7085.103        208.425    17.874     0.032  2.57
OBS:  57462.55431     g      3846.023        129.786    18.537     0.036  1.93
OBS:  57477.45057     g      2344.978        119.759    19.075     0.055  1.83
OBS:  57432.58179     r     19830.306        330.567    16.757     0.018  1.80
OBS:  57437.60555     r     28050.548        438.983    16.380     0.017  2.24
OBS:  57449.59097     r     15686.027        272.520    17.011     0.019  2.02
OBS:  57456.59533     r     13285.492        262.412    17.192     0.021  2.54
OBS:  57462.55470     r      9617.451        185.948    17.542     0.021  1.78
OBS:  57477.45097     r      4367.788        129.780    18.399     0.032  1.61
OBS:  57437.56610     r     26381.601        385.885    16.447     0.016  2.52
OBS:  57437.57815     r     26623.559        391.174    16.437     0.016  2.88
OBS:  57437.59042     r     26284.509        382.471    16.451     0.016  2.28
OBS:  57437.60277     r     27369.093        397.462    16.407     0.016  2.37
OBS:  57449.60421     r     16127.001        240.771    16.981     0.016  1.86
OBS:  57449.61612     r     16068.603        238.589    16.985     0.016  1.75
OBS:  57449.62819     r     15538.932        231.866    17.021     0.016  1.72
OBS:  57449.64008     r     15590.439        232.136    17.018     0.016  1.85
OBS:  57478.45281     r      4329.483         89.742    18.409     0.022  1.70
OBS:  57478.46513     r      4089.350         80.568    18.471     0.021  1.53
OBS:  57478.48975     r      4204.019         86.356    18.441     0.022  1.81
OBS:  57478.47742     r      4125.989         82.610    18.461     0.022  1.56
OBS:  57479.47060     r      4124.117         80.407    18.462     0.021  1.67
OBS:  57479.48239     r      3917.511         74.946    18.517     0.021  1.51
OBS:  57479.49425     r      4014.266         78.948    18.491     0.021  1.57
OBS:  57479.50615     r      3963.489         78.630    18.505     0.021  1.73
OBS:  57432.58216     i     16064.270        280.612    16.985     0.019  1.66
OBS:  57437.60591     i     17216.036        309.730    16.910     0.019  2.02
OBS:  57449.59133     i      8328.044        194.927    17.699     0.025  2.04
OBS:  57456.59569     i     10238.719        241.879    17.474     0.026  2.50
OBS:  57462.55506     i      9271.729        192.847    17.582     0.023  1.60
OBS:  57477.45134     i      3416.875        130.857    18.666     0.041  1.67
OBS:  57437.60627     z     15202.168        337.423    17.045     0.024  2.26
OBS:  57449.59170     z     10325.358        241.618    17.465     0.025  1.64
OBS:  57456.59606     z     11097.780        316.110    17.387     0.031  2.39
OBS:  57462.55543     z      9418.554        239.813    17.565     0.028  1.66
OBS:  57477.45171     z      3176.279        162.732    18.745     0.055  1.39
OBS:  57432.65703     z     13495.827        243.307    17.175     0.020  2.00
OBS:  57432.66203     z     12872.371        242.241    17.226     0.020  2.17
OBS:  57463.62772     z      8765.239        194.243    17.643     0.024  1.95
OBS:  57463.63606     z      8886.754        203.676    17.628     0.025  2.13
END:
